"devicename","FriendlyName","DriverVersion","DriverDate"
"Local Print Queue","Fax","10.0.22000.1","20060621000000.******+***"
"Local Print Queue","Microsoft Print to PDF","10.0.22000.1","20060621000000.******+***"
"Local Print Queue","Microsoft XPS Document Writer","10.0.22000.1","20060621000000.******+***"
"Local Print Queue","Snagit 2022","10.0.22000.1","20060621000000.******+***"
"Local Print Queue","Root Print Queue","10.0.22000.1","20060621000000.******+***"
"Generic software device","Microsoft GS Wavetable Synth","10.0.22000.1","20060621000000.******+***"
"Generic software device","Microsoft Device Association Root Enumerator","10.0.22000.1","20060621000000.******+***"
"Generic software device","WiFi","10.0.22000.1","20060621000000.******+***"
"Generic software device","Bluetooth","10.0.22000.1","20060621000000.******+***"
"Generic software device","Microsoft Radio Device Enumeration Bus","10.0.22000.1","20060621000000.******+***"
"Audio Endpoint","XSplit Audio (Broadcaster)","10.0.22000.1","20210506000000.******+***"
"Broadcaster",,"1.0.2107.2601","20210726000000.******+***"
"Audio Endpoint","Speakers (XSplit  Stream  Audio  Renderer)","10.0.22000.1","20210506000000.******+***"
"XSplit  Stream  Audio  Renderer",,"2.0.2105.2401","20210524000000.******+***"
"Remote Desktop Device Redirector Bus",,"10.0.22000.1","20060621000000.******+***"
"3Dx_KMJ_01",,,
"HID-compliant game controller",,"10.0.22000.1","20060621000000.******+***"
"HID Keyboard Device",,"10.0.22000.653","20060621000000.******+***"
"HID-compliant mouse",,"10.0.22000.653","20060621000000.******+***"
"3Dconnexion KMJ Emulator",,"1.0.3.0","20110114000000.******+***"
"Microsoft Streaming Clock Proxy",,"10.0.22000.1","20060621000000.******+***"
"Microsoft Streaming Quality Manager Proxy",,"10.0.22000.1","20060621000000.******+***"
"Microsoft Streaming Service Proxy",,"10.0.22000.1","20060621000000.******+***"
"Plug and Play Software Device Enumerator",,"10.0.22000.1","20210406000000.******+***"
"Microsoft System Management BIOS Driver",,"10.0.22000.1","20060621000000.******+***"
"NDIS Virtual Network Adapter Enumerator",,"10.0.22000.1","20060621000000.******+***"
"AMD Crash Defender",,"22.20.0.2","20221205000000.******+***"
"Usb Software Root","Usb Software Root","4.65.5.658","20200206000000.******+***"
"VMware VMCI Host Device",,"9.8.16.0","20191107000000.******+***"
"XSplit VCam",,"1.0.2105.402","20210405000000.******+***"
"Microsoft Basic Render Driver",,"10.0.22000.1","20060621000000.******+***"
"Device Firmware",,"10.0.22000.1","20060621000000.******+***"
"Device Firmware",,"10.0.22000.1","20060621000000.******+***"
"System Firmware",,"10.0.22000.1","20060621000000.******+***"
"Microsoft UEFI-Compliant System",,"10.0.22000.653","20060621000000.******+***"
"ACPI Fixed Feature Button",,"10.0.22000.1","20060621000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
"AMD Processor","AMD Ryzen Threadripper PRO 3995WX 64-Cores     ","10.0.22000.778","20090421000000.******+***"
