"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-Zip 24.07 (x64)","24.07","Igor Pavlov",
"AMD Software","24.6.1","Advanced Micro Devices, Inc.",
"Audacity 3.6.1","3.6.1","Audacity Team","20240723"
"AutoHotkey 1.1.37.01","1.1.37.01","AutoHotkey Foundation LLC",
,,,
"CPUID CPU-Z 2.10","2.10","CPUID, Inc.","20240715"
"Docker Desktop","4.32.0","Docker Inc.",
"Fairlight Audio Accelerator Utility","1.0.15","Blackmagic Design","20230721"
"Git","2.45.2","The Git Development Community","20240608"
"LatencyMon 7.31","7.31","Resplendence Software Projects Sp.","20230823"
"Logitech Presentation","1.60.33","Logitech",
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43","Microsoft Corporation","07/05/2024"
"Mozilla Firefox (x64 en-GB)","128.0.2","Mozilla",
"Mozilla Maintenance Service","128.0.2","Mozilla",
,,"Microsoft Corporation",
"Microsoft 365 Apps for business - en-us","16.0.17726.20160","Microsoft Corporation",
"Microsoft OneDrive","24.126.0623.0001","Microsoft Corporation",
"Intel(R) Network Connections Drivers","29.1","Intel",
"Razer Axon","1.5.11.0","Razer Inc.","20240626"
"Speccy","1.33","Piriform",
"Subtitle Edit","4.0.7.0","Nikse","20240710"
"VBCABLE-A, The Virtual Audio Cable",,"VB-Audio Software",
"VBCABLE-B, The Virtual Audio Cable",,"VB-Audio Software",
"VLC media player","3.0.21","VideoLAN",
"Wacom Tablet","6.4.6-2","Wacom Technology Corp.",
,,,
"WinRAR 7.01 (64-bit)","7.01.0","win.rar GmbH",
"paint.net","5.0.13","dotPDN LLC","20240720"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230721"
"Microsoft .NET AppHost Pack - 8.0.7 (x64)","64.28.16731","Microsoft Corporation","20240714"
"XSplit Broadcaster","4.5.2402.2307","XSplit","20240517"
"Blackmagic RAW Common Components","4.0","Blackmagic Design","20240414"
"3Dconnexion Add-In for AutoCAD","5.7.3.19836","3Dconnexion","20230722"
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43","Microsoft Corporation","20240507"
"IIS Express Application Compatibility Database for x64",,,
"Elgato Camera Hub","1.6.1.999","Corsair Memory, Inc.","20230721"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20240507"
"Camtasia 2023","23.4.8.53233","TechSmith Corporation","20240522"
"3Dconnexion Plug-In for Photoshop","2.11.0.19618","3Dconnexion","20230722"
"iTunes","12.13.2.3","Apple Inc.","20240510"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240501"
"Microsoft .NET Runtime - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","20240529"
"vs_minshellx64msi","17.10.34804","Microsoft Corporation","20240526"
"Microsoft .NET Core SDK 2.1.300 (x64)","8.91.8884","Microsoft Corporation","20240306"
"Microsoft ASP.NET Core 2.1.0 Shared Framework (x64)","2.1.12916.0","Microsoft Corporation","20240306"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.28.16731","Microsoft Corporation","20240714"
"Python 3.13.0b3 Core Interpreter (64-bit)","3.13.113.0","Python Software Foundation","20240701"
"Apple Mobile Device Support","17.5.0.12","Apple Inc.","20240510"
"VirtualDJ 2023","8.5.7607.0","Atomix Productions","20230805"
"PowerToys (Preview)","0.82.1","Microsoft Corporation","20240714"
"AMD Settings","2024.0620.1808.2026","Advanced Micro Devices, Inc.","20240714"
"Microsoft SQL Server 2019 LocalDB ","15.0.4153.1","Microsoft Corporation","20240507"
"Microsoft .NET AppHost Pack - 6.0.32 (x64_x86)","48.128.16743","Microsoft Corporation","20240711"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.2.8053","Microsoft Corporation","20240526"
"Microsoft Azure PowerShell - April 2018","5.7.0.18831","Microsoft Corporation","20240507"
"Microsoft Azure Libraries for .NET ? v2.9","3.0.2310.23","Microsoft Corporation","20240507"
"3Dconnexion Plug-In for Maya","6.0.15.19971","3Dconnexion","20230722"
"Aspire.Dashboard.Sdk.win-x64 (x64)","8.0.0.0","Microsoft Corporation","20240526"
"Microsoft .NET Host FX Resolver - 8.0.7 (x64)","64.28.16731","Microsoft Corporation","20240710"
"Microsoft .NET Runtime - 6.0.32 (x64)","48.128.16743","Microsoft Corporation","20240711"
"Aspire.Hosting (x64)","8.0.0.0","Microsoft Corporation","20240526"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","20240507"
"Microsoft .NET AppHost Pack - 6.0.32 (x64_arm64)","48.128.16743","Microsoft Corporation","20240711"
"3Dconnexion Plug-In for Creo 2.0 - 9.0","2.4.6.19972","3Dconnexion","20230722"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.2.8053","Microsoft Corporation","20240526"
"THX Spatial Audio USB 1532-0555","3.0.36.0","THX","20231203"
"3Dconnexion Add-In for Revit","1.0.2.35","3Dconnexion","20230722"
"Branding64","1.00.0009","Advanced Micro Devices, Inc.","20240714"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20230726"
"64 Bit HP CIO Components Installer","22.2.1","HP Inc.","20240401"
"THX V3 APO Presets","3.0.18","THX","20230802"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.2.8053","Microsoft Corporation","20240526"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230721"
"Bonjour","3.1.0.1","Apple Inc.","20230722"
"Microsoft .NET 6.0 Templates 6.0.424 (x64)","24.8.7218","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240522"
"3Dconnexion Add-In for Solid Edge","3.6.3","3Dconnexion","20230722"
