"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Caption","ClassGuid","CompatID","CreationClassName","Description","DeviceClass","DeviceID","DeviceName","DevLoader","DriverDate","DriverName","DriverProviderName","DriverVersion","FriendlyName","HardWareID","InfName","InstallDate","IsSigned","Location","Manufacturer","Name","PDO","Signer","Started","StartMode","Status","SystemCreationClassName","SystemName"
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","GenPrintQueue",,"Local Print Queue","PRINTQUEUE","SWD\PRINTENUM\{BEDF633C-D8EB-417C-9CE8-B9223B86C06C}","Local Print Queue",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Fax","PRINTENUM\microsoftmicrosoft_s7d14","printqueue.inf",,"True",,"Microsoft",,"\Device\000001af","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","GenPrintQueue",,"Local Print Queue","PRINTQUEUE","SWD\PRINTENUM\{108A8995-240A-4102-9701-D89795698E10}","Local Print Queue",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Microsoft Print to PDF","PRINTENUM\{084f01fa-e634-4d77-83ee-074817c03581}","printqueue.inf",,"True",,"Microsoft",,"\Device\000001ae","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","GenPrintQueue",,"Local Print Queue","PRINTQUEUE","SWD\PRINTENUM\{9077E791-6299-41DE-96EC-445540B0F770}","Local Print Queue",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Microsoft XPS Document Writer","PRINTENUM\{0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}","printqueue.inf",,"True",,"Microsoft",,"\Device\000001ad","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","GenPrintQueue",,"Local Print Queue","PRINTQUEUE","SWD\PRINTENUM\{A1F9BD84-1B1B-4BD8-AB55-E06F3E53F0F6}","Local Print Queue",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Snagit 2022","PRINTENUM\LocalPrintQueue","printqueue.inf",,"True",,"",,"\Device\000001ac","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","SWD\GenericRaw",,"Local Print Queue","PRINTQUEUE","SWD\PRINTENUM\PRINTQUEUES","Local Print Queue",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Root Print Queue","PRINTENUM\LocalPrintQueue","printqueue.inf",,"True",,"Microsoft",,"\Device\000001ab","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","SWD\GenericRaw",,"Generic software device","SOFTWAREDEVICE","SWD\MMDEVAPI\MICROSOFTGSWAVETABLESYNTH","Generic software device",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Microsoft GS Wavetable Synth",,"c_swdevice.inf",,"True",,"Microsoft",,"\Device\00000181","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","SWD\GenericRaw",,"Generic software device","SOFTWAREDEVICE","SWD\MSDAS\{CE958E9A-424F-4C88-86F4-11314821E75A}","Generic software device",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Microsoft Device Association Root Enumerator",,"c_swdevice.inf",,"True",,"Microsoft",,"\Device\00000138","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","SWD\GenericRaw",,"Generic software device","SOFTWAREDEVICE","SWD\RADIO\{05A478A7-9545-4BF7-97FE-86A946C1C1E0}","Generic software device",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","WiFi",,"c_swdevice.inf",,"True",,"Microsoft",,"\Device\000001aa","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","SWD\GenericRaw",,"Generic software device","SOFTWAREDEVICE","SWD\RADIO\BLUETOOTH_841B771830A2","Generic software device",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Bluetooth",,"c_swdevice.inf",,"True",,"Microsoft",,"\Device\0000015c","Microsoft Windows",,,,,
"W11WORKSTATION","2","Win32_PnPSignedDriver","CIM_Service","CIM_ManagedSystemElement",,"28","System.String[]","W11WORKSTATION","root\cimv2",,,"{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","SWD\GenericRaw",,"Generic software device","SOFTWAREDEVICE","SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}","Generic software device",,"20060621000000.******+***",,"Microsoft","10.0.22000.1","Microsoft Radio Device Enumeration Bus",,"c_swdevice.inf",,"True",,"Microsoft",,"\Device\00000137","Microsoft Windows",,,,,
