[0x00009d10] | UI                   | INFO  | 2022-08-03 11:26:51,549 | Gallery pointer is changed, refreshing color gallery
[0x00009d10] | UI                   | INFO  | 2022-08-03 11:26:51,567 | Gallery pointer is changed, refreshing gallery browser
[0x00004434] | LeManager            | INFO  | 2022-08-03 11:26:51,886 | 522, 92
[0x0000525c] | Undefined            | INFO  | 2022-08-03 11:34:06,693 | --------------------------------------------------------------------------------
[0x0000525c] | Undefined            | INFO  | 2022-08-03 11:34:06,694 | Loaded log config from C:\Users\rifat\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x0000525c] | Undefined            | INFO  | 2022-08-03 11:34:06,694 | --------------------------------------------------------------------------------
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:06,706 | Running DaVinci Resolve v18.0.1.0003 (Windows/MSVC x86_64)
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:06,706 | BMD_BUILD_UUID f7a275a1-0ef5-43ed-b529-7a946107d939
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:06,706 | BMD_GIT_COMMIT 5e820dc8b16dbf26afebbad87b1654652c916ffe
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:06,708 | Starting GPUDetect 1.2_1-a10
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,231 | Done in 523 ms.
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,231 | Detected System:
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,231 |   - OS: Windows 11 Pro for Workstations (Build 22000)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,231 |   - Model: ASUSTeK Pro WS WRX80E-SAGE SE WIFI
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,232 |   - System ID: 153f7952-78f9-4be8-9fa8-ee203a6fefd9
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,232 |   - CPU: AMD Ryzen Threadripper PRO 3995WXs, 64 threads, x86-64
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,232 |   - RAM: 12.6 GiB used of 127.8 GiB
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,232 |   - AMD GPU Driver: 22.20.15.01-220725a-381283E-AMD-Software-Adrenalin-Edition
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,232 | Detected 2 GPUs:
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,766 |   - "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,766 |     Discrete, 446 MiB used of 16.0 GiB VRAM, PCI:67:0.0
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:07,766 |     Matches: AMDDL, DirectX, OpenCL, Win32
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "AMD Radeon VII" (gpu:c1ba0e72.a0aa77a0) <- Main Display GPU
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     Discrete, 446 MiB used of 16.0 GiB VRAM, PCI:3:0.0
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     Matches: AMDDL, DirectX, OpenCL, Win32
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 | Detected 8 monitors:
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor"
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     5120x1440, connected to "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor"
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     2160x3840, connected to "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor"
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     1920x1080, connected to "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor"
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     1920x1080, connected to "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor" <- Main Monitor
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     1920x1080, connected to "AMD Radeon VII" (gpu:c1ba0e72.a0aa77a0)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor" <- Main Monitor
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     1920x1080, connected to "AMD Radeon VII" (gpu:c1ba0e72.a0aa77a0)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor" <- Main Monitor
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     1920x1080, connected to "AMD Radeon VII" (gpu:c1ba0e72.a0aa77a0)
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |   - "Generic PnP Monitor" <- Main Monitor
[0x0000525c] | GPUDetect            | INFO  | 2022-08-03 11:34:08,051 |     1920x1080, connected to "AMD Radeon VII" (gpu:c1ba0e72.a0aa77a0)
[0x0000525c] | Main.GPUConfig       | INFO  | 2022-08-03 11:34:08,053 | Compute API set to automatic, defaulting to OpenCL.
[0x0000525c] | Main.GPUConfig       | INFO  | 2022-08-03 11:34:08,053 | Selected compute API: OpenCL
[0x0000525c] | Main.GPUConfig       | INFO  | 2022-08-03 11:34:08,053 | Automatic GPU Selection:
[0x0000525c] | Main.GPUConfig       | INFO  | 2022-08-03 11:34:08,053 |   - "AMD Radeon RX 6900 XT" (gpu:1ce3a452.a811fcd4)
[0x0000525c] | IO                   | INFO  | 2022-08-03 11:34:08,053 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x0000525c] | IO                   | INFO  | 2022-08-03 11:34:08,088 | R3DAPI 8.3.0-52373 (20220713 Wx64S) R3DSDK 8.3.0-52373 (20220713 Wx64D C3B3) RED OPENCL 8.3.0-52370 (20220713) [C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries\] init is successful
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:08,089 | 0 RED rocket cards available
[0x0000525c] | SyManager.DeckLink   | ERROR | 2022-08-03 11:34:08,100 | Failed to create instance.
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:08,100 | Decklink model name: '', version: ''
[0x0000525c] | DVIP                 | INFO  | 2022-08-03 11:34:08,100 | DVIP release/18.0.1 build 3 (995ff3291e77307d2b823e2b6f51ce79615c9d61). Release, version 18.0.1.
[0x0000525c] | Main                 | INFO  | 2022-08-03 11:34:08,100 | Resolve Module Handle 00007FF705250000
[0x00005264] | IO                   | INFO  | 2022-08-03 11:34:08,169 | Using DNxHR library v2.7.3.27r
[0x00000da8] | Fusion               | INFO  | 2022-08-03 11:34:08,294 | Fusion Build: d659dd1e_0004 (Jul 25 2022 14:12:42)
[0x000077b8] | Fusion               | INFO  | 2022-08-03 11:34:08,300 | fusionsystem: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\fusionsystem.dll"
[0x000077b8] | Fusion               | INFO  | 2022-08-03 11:34:08,391 | FusionLibs: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\"
[0x000077b8] | Fusion               | INFO  | 2022-08-03 11:34:08,391 | UserData:   = "C:\Users\rifat\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Support\Fusion"
[0x000077b8] | Fusion               | INFO  | 2022-08-03 11:34:08,391 | Profiles:   = "UserData:Profiles\"
[0x00005264] | IO                   | INFO  | 2022-08-03 11:34:08,471 | IOAMFEnc codec(avc1) bitdepth(8) supported
