"Name","Version"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.14501"
"DaVinci Resolve","19.0.00069"
"VirtualDJ 2023","8.5.7607.0"
"Office 16 Click-to-Run Extensibility Component","16.0.17928.20156"
"Office 16 Click-to-Run Licensing Component","16.0.17928.20156"
"3Dconnexion Navigation Library Server","1.4.4.19928"
"SoftwareUpdateNotification","1.0.21.0"
"AMD Ryzen Balanced Driver","8.0.0.13"
"3Dconnexion Plug-In for 3ds Max 2014 - 2023","7.0.15.19966"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256"
"Microsoft .NET SDK 8.0.400 (x64) from Visual Studio","8.4.24.37502"
"Intel Driver && Support Assistant","24.4.32.8"
"Intel(R) Wireless Bluetooth(R)","23.60.0.1"
"3Dconnexion Trainer","3.2.7.17569"
"3Dconnexion LCD Applets for SpacePilot Pro","1.5.1"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33810","14.40.33810"
"Imaging Edge Desktop (Remote/Viewer/Edit)","3.7.01.02290"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.5.8030"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148","9.0.30729.4148"
"Microsoft Visual Studio Setup WMI Provider","3.11.2133.16870"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.5.8020"
"Microsoft.NET.Sdk.Maui.Manifest-6.0.300","24.78.0"
"vs_communitysharedmsi","17.11.35103"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.32.18380"
"Microsoft .NET AppHost Pack - 6.0.33 (x64_x86)","48.132.18378"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219"
"vs_minshellx64msi","17.11.35102"
"Microsoft ASP.NET Core 6.0.33 Targeting Pack (x64)","6.0.33.24379"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
"3Dconnexion Plug-In for Photoshop","2.11.0.19618"
"THX V3 APO Presets","3.0.14"
"Chrome Remote Desktop Host","129.0.6668.14"
"BrSupportTools","1.0.28.0"
"Microsoft .NET Runtime - 6.0.33 (x64)","48.132.18378"
"Windows Subsystem for Linux","2.2.4.0"
"Python 3.13.0b3 Development Libraries (64-bit)","3.13.113.0"
"Red Hat OpenShift Local","2.40.0"
"vs_communityx64msi","17.11.35103"
"Microsoft .NET Host - 8.0.8 (x86)","64.32.18380"
"64 Bit HP CIO Components Installer","22.2.1"
"Microsoft .NET Targeting Pack - 8.0.8 (x64)","64.32.18380"
"Google Chrome","128.0.6613.138"
"3Dconnexion Add-In for Revit","1.0.2.35"
"Microsoft.NET.Sdk.Android.Manifest-6.0.300","128.75.16384"
"DriverInstaller","1.0.3.1"
"IntelliTraceProfilerProxy","15.0.21225.01"
"Microsoft Azure Authoring Tools - v2.9.7","2.9.8999.45"
"Microsoft .NET AppHost Pack - 6.0.33 (x64_arm64)","48.132.18378"
"Camtasia 2023","23.4.8.53233"
"3Dconnexion Assembly Demo","0.9.8.0"
"Brother Scanner Driver","1.0.27.1"
"THX Spatial Audio USB 1532-0555","3.0.36.0"
"vs_communitymsires","17.11.35103"
"vs_githubprotocolhandlermsi","17.11.35102"
"Microsoft Windows Desktop Runtime - 8.0.8 (x64)","64.32.18376"
"Microsoft ASP.NET Core 6.0.33 Shared Framework (x64)","6.0.33.24379"
"VS Script Debugging Common","17.0.157.0"
"Microsoft .NET Host FX Resolver - 7.0.20 (x86)","56.80.15184"
"3Dconnexion Plug-In for Maya","6.0.15.19971"
"Microsoft Web Deploy 4.0","10.0.8305"
"vs_SQLClickOnceBootstrappermsi","17.11.35102"
"Microsoft Azure Libraries for .NET ? v2.9","3.0.2310.23"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062"
"Logi Tune 3.6.373","3.6.373.0"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0"
"BrLauncher","2.0.23.0"
"Microsoft GameInput","10.1.22621.3036"
"DriverInstaller","1.0.4.1"
"AMD WVR64","1.0.2"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664"
"Minecraft Launcher","2.0.0.0"
"Microsoft Azure Libraries for .NET ? v2.9","3.0.2404.2502"
"Microsoft ASP.NET Core 8.0.8 Shared Framework (x64)","8.0.8.24369"
"Apple Mobile Device Support","18.0.0.32"
"Microsoft .NET Host FX Resolver - 6.0.33 (x64)","48.132.18378"
"Aspire.ProjectTemplates (x64)","8.1.0.0"
"Microsoft .NET AppHost Pack - 6.0.33 (x64)","48.132.18378"
"vs_clickoncebootstrappermsi","17.11.35103"
"Microsoft .NET Targeting Pack - 8.0.8 (x86)","64.32.18380"
"THX Spatial Audio USB 1532-0528","3.0.36.0"
"Node.js","22.8.0"
"Microsoft .NET Runtime - 8.0.8 (x86)","64.32.18380"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.113"
"Blackmagic ATEM Switchers","9.0.2.0"
"Microsoft.NET.Workload.Emscripten.Manifest (x64)","48.132.18161"
"PowerToys (Preview)","0.84.1"
"Microsoft .NET Framework 4.8 SDK","4.8.03928"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.32.18380"
"icecap_collection_x64","17.11.35102"
"THX Spatial Audio USB 1532-0555","3.0.30.0"
"Microsoft .NET Host - 6.0.33 (x86)","48.132.18378"
"Python 3.13.0b3 Core Interpreter (64-bit)","3.13.113.0"
"Loupedeck UI 5.9.1.19364","5.9.1.19364"
"3Dconnexion Plugin for Cinema 4D","1.0.1.38"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.5.8020"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761"
"vs_filehandler_x86","17.11.35102"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.64.18482"
"Microsoft ASP.NET Core 2.1.0 Shared Framework (x64)","2.1.12916.0"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.5.8030"
"Adobe Acrobat (64-bit)","24.003.20112"
"Adobe Refresh Manager","1.8.0"
"Aspire.Hosting.Orchestration.win-x64 (x64)","8.1.0.0"
"IIS 10.0 Express","10.0.08608"
"Microsoft Windows Desktop Runtime - 6.0.33 (x64)","48.132.18374"
"VMware Workstation","17.5.2"
"vs_minshellinteropsharedmsi","17.11.35102"
"paint.net","5.0.13"
"AMD DVR64","1.0.2"
"Microsoft .NET Host FX Resolver - 8.0.8 (x86)","64.32.18380"
"Microsoft .NET Core Host - 2.1.0 (x64)","16.64.26515"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0"
"Microsoft.NET.Workload.Mono.Toolchain.Manifest","48.3.40665"
"Camtasia 2024","24.0.4.2964"
"Microsoft NetStandard SDK","15.0.51105"
"Synology Drive Client","7.3.0.15082"
"BrLogRx","1.0.3.1"
"vs_vswebprotocolselectormsi","17.11.35102"
"Microsoft .NET Toolset 6.0.425 (x64)","24.14.29999"
"AMD_Chipset_Drivers","6.07.22.037"
