PS C:\WINDOWS\system32> choco list --localonly
Chocolatey v1.1.0
7zip.install 22.0
adobereader 2022.001.20142
audacity 3.1.3
autohotkey 1.1.34.03
autohotkey.install 1.1.34.03
autohotkey.portable 1.1.34.03
chocolatey 1.1.0
chocolatey-compatibility.extension 1.0.0
chocolatey-core.extension 1.4.0
chocolatey-dotnetfx.extension 1.0.1
chocolatey-misc-helpers.extension 0.0.4
chocolatey-windowsupdate.extension 1.0.4
Cmder 1.3.19
discord 1.0.9004
discord.install 1.0.9004
DotNet4.5.2 4.5.2.20140902
DotNet4.6.1 4.6.01055.20170308
dotnetfx 4.8.0.20220524
GoogleChrome 103.0.5060.66
javaruntime 8.0.231
jdk8 8.0.211
jre8 8.0.333
kav 15.0.2.361
KB2919355 1.0.20160915
KB2919442 1.0.20160915
KB2999226 1.0.20181019
KB3033929 1.0.5
KB3035131 1.0.3
lightshot.install 5.5.0.7
logitech-options 9.60.87
notepadplusplus.install 8.4.2
obs-studio 27.2.4
obs-studio.install 27.2.4.20220520
paint.net 4.3.11
PowerShell 5.1.14409.20180811
procexp 16.43
pswindowsupdate 2.2.0.3
skype 8.85.0.409
slack 4.27.154
spotify 1.1.88.612
steam-client 2.10.91.92
streamdeck 5.2.1.15025
streamlabs-obs 1.9.0
vcredist140 14.32.31332
vcredist2010 10.0.40219.32503
vcredist2015 14.0.24215.20170201
vcredist2017 14.16.27033
vlc 3.0.17.4
vlc.install 3.0.17.4
voicemeeter.install 1.0.8.2
webview2-runtime 103.0.1264.37
zoom 5.11.1.6602
52 packages installed.
PS C:\WINDOWS\system32>
